project,bugNum,inspectionReportNum,totalReportNum,
1-284-百度手机卫士功能体验_1463737109.csv,36,178,284,0.626760563
10-189-药直达用户体验调研_1463737319.csv,25,181,189,0.957671958
100-67-Florist测试_1463737562.csv,16,47,67,0.701492537
101-120-今日时尚测试_1463737561.csv,17,73,120,0.608333333
102-223-迪信通测试_1463737571.csv,27,122,223,0.547085202
103-79-多喝水测试_1463737572.csv,15,65,79,0.82278481
104-70-牛牛餐食测试_1463737573.csv,17,43,70,0.614285714
105-60-微约测试_1463737578.csv,15,48,60,0.8
106-103-基金速览2.3测试_1463737575.csv,14,67,103,0.650485437
107-174-硬件编码测试_1463737567.csv,24,99,174,0.568965517
108-272-优优送药测试_1463737584.csv,34,213,272,0.783088235
109-55-金银富测试_1463737553.csv,13,48,55,0.872727273
11-117-广告云推送调研测试_1463737325.csv,9,94,117,0.803418803
110-149-互动宝宝测试_1463737577.csv,17,143,149,0.959731544
111-241-迪信通测试二_1463737590.csv,30,158,241,0.65560166
112-119-思维简图测试_1463737602.csv,16,75,119,0.630252101
113-177-Hark测试_1463737599.csv,24,132,177,0.745762712
114-119-京东微联测试_1463737617.csv,17,94,119,0.789915966
115-157-天天红包测试_1463737606.csv,17,122,157,0.777070064
116-119-翻倍乐测试_1463737612.csv,17,116,119,0.974789916
117-257-药品通测试_1463737622.csv,32,244,257,0.949416342
118-243-次元GO测试_1463737610.csv,29,220,243,0.905349794
119-337-急救快通测试_1463737643.csv,42,288,337,0.854599407
12-37-百度视频体验测试_1463737328.csv,10,35,37,0.945945946
120-212-远行家测试_1463737546.csv,24,209,212,0.985849057
121-136-ING足球比分测试_1463737637.csv,17,127,136,0.933823529
122-138-购物狂测试_1463737645.csv,18,100,138,0.724637681
123-115-移动发布系统Beta测试_1463737586.csv,5,84,115,0.730434783
124-326-衣批测试_1463737628.csv,40,238,326,0.73006135
125-117-话费支付Demo测试_1463737673.csv,16,70,117,0.598290598
126-87-脸萌测试_1463737675.csv,19,54,87,0.620689655
127-271-365淘房测试_1463737634.csv,32,235,271,0.867158672
128-115-蛋蛋赚测试_1463737676.csv,14,102,115,0.886956522
129-286-滔滔托福口语测试_1463737596.csv,34,285,286,0.996503497
13-35-百度糯米v5.9.2体验测试_1463737329.csv,2,29,35,0.828571429
130-136-终极手电筒测试_1463737660.csv,19,107,136,0.786764706
131-85-我是我测试_1463737672.csv,21,80,85,0.941176471
132-93-whatslive测试_1463737665.csv,21,73,93,0.784946237
133-141-幻径测试_1463737686.csv,20,69,141,0.489361702
134-221-买车达人测试_1463737670.csv,24,191,221,0.864253394
135-243-星联app测试_1463737684.csv,30,151,243,0.621399177
136-215-简明天气测试_1463737693.csv,24,154,215,0.71627907
137-75-壹吉购测试_1463737696.csv,18,41,75,0.546666667
138-56-唱吧测试_1463737677.csv,14,51,56,0.910714286
139-576-百家云测试_1463737658.csv,64,576,576,1
14-36-百度浏览器V3.0有奖测试_1463737331.csv,12,36,36,1
140-196-365淘房测试6.1.1版本_1463737664.csv,26,188,196,0.959183673
141-173-聚创测试_1463737689.csv,23,140,173,0.809248555
142-130-hjdn测试_1463737703.csv,18,75,130,0.576923077
143-127-荔枝FM测试_1463737709.csv,18,103,127,0.811023622
144-66-移动发布系统2.1修复版测试_1463737666.csv,15,62,66,0.939393939
145-155-手电筒测试_1463737698.csv,22,73,155,0.470967742
146-252-鸟人测试_1463737707.csv,31,196,252,0.777777778
147-71-QQ音乐测试_1463737719.csv,17,58,71,0.816901408
148-199-药师360测试_1463737715.csv,28,184,199,0.924623116
149-121-喜马拉雅FM测试_1463737711.csv,17,79,121,0.652892562
15-43-百度外卖2.0测试_1463737334.csv,14,33,43,0.76744186
150-275-石榴网APP测试_1463737733.csv,34,234,275,0.850909091
151-332-道道云驾校测试_1463737724.csv,41,224,332,0.674698795
152-61-UAP门户测试_1463737693.csv,12,40,61,0.655737705
153-76-手游武动乾坤测试_1463737700.csv,19,64,76,0.842105263
154-186-BCHMS测试_1463737680.csv,26,149,186,0.801075269
155-74-百糯6.2.0测试_1463737695.csv,14,72,74,0.972972973
156-85-话费支付Demo测试_1463737701.csv,20,75,85,0.882352941
157-161-任意球测试_1463737744.csv,23,125,161,0.776397516
158-278-城市赛车手测试_1463737738.csv,33,218,278,0.784172662
159-158-基金曲线速览测试_1463737717.csv,21,93,158,0.588607595
16-44-安卓优化大师体验测试_1463737336.csv,13,28,44,0.636363636
160-162-途鸽wifi测试_1463737741.csv,23,160,162,0.987654321
161-270-凤凰视频beta版_1463737748.csv,31,220,270,0.814814815
162-412-网上订餐软件测试_1463737768.csv,51,326,412,0.791262136
163-180-局领导测试_1463737771.csv,23,142,180,0.788888889
164-326-茄子医生测试_1463737777.csv,40,263,326,0.806748466
165-391-Vmeet唯觅测试_1463737784.csv,47,380,391,0.971867008
166-212-广告告测试_1463737757.csv,25,193,212,0.910377358
167-284-杏林题库测试_1463737790.csv,35,243,284,0.855633803
168-124-电台测试_1463737792.csv,16,102,124,0.822580645
169-326-聚创测试_1463737729.csv,38,295,326,0.904907975
17-31-百度云android测试_1463737335.csv,8,29,31,0.935483871
170-149-Domino测试_1463737794.csv,21,131,149,0.879194631
171-290-百问百答测试_1463737762.csv,34,244,290,0.84137931
172-32-手机百度测试_1463737834.csv,10,16,32,0.5
173-462-加加运动测试_1463737811.csv,54,443,462,0.958874459
174-330-易试驾测试_1463737832.csv,39,278,330,0.842424242
175-167-赛果不倒蛋测试_1463737842.csv,22,120,167,0.718562874
176-61-糯米6.3测试_1463737827.csv,7,31,61,0.508196721
177-482-幼学通测试_1463737801.csv,58,473,482,0.981327801
178-541-医随宝测试_1463737820.csv,55,511,541,0.944547135
179-117-金蛋理财测试_1463737851.csv,16,56,117,0.478632479
18-58-百度天眼测试反馈（九期）_1463737345.csv,14,48,58,0.827586207
180-49-M-Sight测试_1463737834.csv,5,22,49,0.448979592
181-271-网乐惠测试_1463737849.csv,33,240,271,0.885608856
182-127-的士分期测试_1463737854.csv,16,119,127,0.937007874
183-124-喜马拉雅FM测试_1463737863.csv,17,78,124,0.629032258
184-158-叮叮搭车测试_1463737804.csv,22,91,158,0.575949367
185-249-每天一句话测试_1463737873.csv,29,247,249,0.991967871
186-328-快乐童书测试_1463737861.csv,39,328,328,1
187-289-鸟人测试_1463737869.csv,35,220,289,0.761245675
188-64-河南移动掌厅客户端测试_1463737864.csv,16,43,64,0.671875
189-216-跑跑测试_1463737615.csv,25,178,216,0.824074074
19-75-百度手机卫士6.5.0测试_1463737339.csv,18,71,75,0.946666667
190-330-掌上PC板测试_1463737880.csv,41,234,330,0.709090909
191-244-好玩测试_1463737752.csv,28,223,244,0.913934426
192-344-滔滔雅思口语测试_1463737898.csv,43,265,344,0.770348837
193-114-百度图片App4.1.3.1测试_1463737882.csv,3,40,114,0.350877193
194-317-竹兜育儿测试_1463737902.csv,37,170,317,0.536277603
195-423-兴华商城测试_1463737908.csv,51,405,423,0.957446809
196-262-小Q科普测试_1463737916.csv,31,144,262,0.549618321
197-306-影视论坛Ai测试_1463737921.csv,38,171,306,0.558823529
198-140-高铁沉降观测程序测试_1463737911.csv,20,130,140,0.928571429
199-295-98仙游测试_1463737840.csv,36,252,295,0.854237288
2-471-百度浏览器T7尝鲜体验_1463737142.csv,58,397,471,0.842887473
20-70-百度糯米v5.10.0体验测试_1463737338.csv,11,58,70,0.828571429
200-429-加加运动测试_1463737892.csv,48,370,429,0.862470862
201-245-每日爆笑精选测试_1463737825.csv,29,244,245,0.995918367
202-432-无线襄阳测试_1463737927.csv,54,270,432,0.625
203-463-自由理财师测试_1463737936.csv,57,376,463,0.812095032
204-101-文件管理测试_1463737945.csv,14,47,101,0.465346535
205-111-bug文件管理测试_1470654534.csv,15,56,111,0.504504505
206-447-汉安行测试_1463737952.csv,54,436,447,0.975391499
207-452-bug汉安行测试_1470654533.csv,54,441,452,0.975663717
208-390-求见测试_1463737943.csv,46,363,390,0.930769231
209-413-bug求见测试_1470654536.csv,48,391,413,0.946731235
21-79-测试军团：百度视频_1463737348.csv,14,73,79,0.924050633
210-68-糯米6.4.0测试_1463737970.csv,9,64,68,0.941176471
211-68-bug糯米6.4.0测试_1470654523.csv,9,64,68,0.941176471
212-404-经常直播内测版测试_1463737964.csv,50,267,404,0.660891089
213-416-bug经常直播内测版测试_1470654528.csv,51,204,416,0.490384615
214-339-bug秀色测试_1470654525.csv,42,226,339,0.666666667
215-339-秀色测试_1463737968.csv,42,226,339,0.666666667
216-283-大帮汇测试_1463737957.csv,34,228,283,0.80565371
217-288-bug大帮汇测试_1470654530.csv,36,233,288,0.809027778
218-103-bug恶龙公主―逆塔防测试_1470654523.csv,14,78,103,0.757281553
219-103-恶龙公主―逆塔防测试_1463737972.csv,14,78,103,0.757281553
22-54-【整点测试】简书APP测试_1463737352.csv,10,53,54,0.981481481
220-798-农科助手测试_1463737988.csv,99,683,798,0.855889724
221-876-bug农科助手测试_1470654520.csv,105,793,876,0.905251142
222-304-喜马拉雅FM测试_1463737999.csv,34,217,304,0.713815789
223-395-bug喜马拉雅FM测试_1470654512.csv,42,305,395,0.772151899
224-426-智慧教育测试_1463737994.csv,53,339,426,0.795774648
225-426-bug智慧教育测试_1470654514.csv,53,339,426,0.795774648
226-325-郑州地铁二维码购票测试_1463738008.csv,39,261,325,0.803076923
227-325-bug郑州地铁二维码购票测试_1470654508.csv,39,261,325,0.803076923
228-244-小饭桌测试_1463737976.csv,28,189,244,0.774590164
229-244-bug小饭桌测试_1470654522.csv,28,189,244,0.774590164
23-85-【整点测试】起点读书_1463737353.csv,14,62,85,0.729411765
230-217-bug易约爱测试_1470654510.csv,27,162,217,0.746543779
231-217-易约爱测试_1463738003.csv,27,162,217,0.746543779
232-462-优家爱康助手测试_1463738025.csv,54,421,462,0.911255411
233-462-bug优家爱康助手测试_1470654493.csv,54,421,462,0.911255411
234-175-bugJiuJiu测试_1470654480.csv,23,121,175,0.691428571
235-175-JiuJiu测试_1463738027.csv,23,121,175,0.691428571
236-561-我们一家测试_1463738018.csv,69,364,561,0.648841355
237-562-bug我们一家测试_1470654506.csv,69,505,562,0.898576512
238-37-bug【110礼券】fingerprint测试_1470654509.csv,9,35,37,0.945945946
239-132-海捣网测试_1463738033.csv,18,76,132,0.575757576
24-54-【整点测试】小咖秀_1463737354.csv,9,37,54,0.685185185
240-132-bug海捣网测试_1470654473.csv,18,76,132,0.575757576
241-95-bug去旅游呀测试_1470654473.csv,23,78,95,0.821052632
242-95-去旅游呀测试_1463738031.csv,23,78,95,0.821052632
243-250-bugmalimalihome测试_1470654477.csv,31,167,250,0.668
244-250-malimalihome测试_1463738030.csv,31,167,250,0.668
245-90-bug凤凰视频客户端_1470654467.csv,22,68,90,0.755555556
246-90-凤凰视频客户端_1463738048.csv,22,68,90,0.755555556
247-394-bug游戏盒子测试_1470654470.csv,49,363,394,0.921319797
248-394-游戏盒子测试_1463738044.csv,49,363,394,0.921319797
249-222-玖信贷测试_1463738047.csv,27,148,222,0.666666667
25-90-【整点测试】365日历_1463737357.csv,10,70,90,0.777777778
250-222-bug玖信贷测试_1470654468.csv,27,148,222,0.666666667
251-205-aiqianbang测试_1463738035.csv,25,131,205,0.63902439
252-205-bugaiqianbang测试_1470654472.csv,25,131,205,0.63902439
253-372-bug叮叮导游测试_1470654471.csv,46,253,372,0.680107527
254-372-叮叮导游测试_1463738040.csv,46,253,372,0.680107527
255-54-bug百度云安卓端测试_1470654507.csv,13,51,54,0.944444444
256-54-百度云安卓端测试_1463738010.csv,13,51,54,0.944444444
257-133-bug口袋故事测试_1470654466.csv,19,96,133,0.721804511
258-133-口袋故事测试_1463738051.csv,19,96,133,0.721804511
259-58-bug糯米6.5测试_1470654467.csv,11,53,58,0.913793103
26-34-手机卫士拦截功能_1463737351.csv,11,32,34,0.941176471
260-58-糯米6.5测试_1463738049.csv,11,53,58,0.913793103
261-195-小刀汇测试_1463738056.csv,27,155,195,0.794871795
262-197-bug小刀汇测试_1470654465.csv,28,157,197,0.796954315
263-212-bug芈糕测试_1470654464.csv,26,161,212,0.759433962
264-212-芈糕测试_1463738058.csv,26,161,212,0.759433962
265-156-bug当老师测试_1470654463.csv,21,144,156,0.923076923
266-156-当老师测试_1463738060.csv,21,144,156,0.923076923
267-194-bug车阿哥（用户端）测试_1470654466.csv,27,143,194,0.737113402
268-194-车阿哥（用户端）测试_1463738053.csv,27,143,194,0.737113402
269-62-bug车阿哥-洗车员端测试_1470654460.csv,15,45,62,0.725806452
27-35-百度寻人 功能性测试_1463737369.csv,11,30,35,0.857142857
270-62-车阿哥-洗车员端测试_1463738060.csv,15,45,62,0.725806452
271-52-SafeClient测试_1463738061.csv,13,42,52,0.807692308
272-53-bugSafeClient测试_1470654460.csv,13,43,53,0.811320755
273-146-黄瓜测试_1463738063.csv,20,121,146,0.828767123
274-149-bug黄瓜测试_1470654456.csv,21,124,149,0.832214765
275-261-bug淘二手测试_1470654455.csv,32,227,261,0.869731801
276-261-淘二手测试_1463738066.csv,32,227,261,0.869731801
277-262-3Dsousou测试_1463738072.csv,32,169,262,0.645038168
278-262-bug3Dsousou测试_1470654452.csv,32,169,262,0.645038168
279-86-百度手机浏览器测试_1463738070.csv,19,77,86,0.895348837
28-44-仟那美居V1.0 体验测试_1463737377.csv,14,39,44,0.886363636
280-88-bug百度手机浏览器测试_1470654453.csv,21,79,88,0.897727273
281-79-微声音测试_1463738075.csv,18,76,79,0.962025316
282-79-bug微声音测试_1470654447.csv,18,76,79,0.962025316
283-184-海捣网测试_1463738074.csv,26,123,184,0.668478261
284-184-bug海捣网测试_1470654451.csv,26,123,184,0.668478261
285-116-bug蜘蛛网app测试_1470654446.csv,15,68,116,0.586206897
286-116-蜘蛛网app测试_1463738077.csv,15,68,116,0.586206897
287-108-bugBOSS量化管理系统测试_1470654444.csv,15,104,108,0.962962963
288-108-BOSS量化管理系统测试_1463738078.csv,15,104,108,0.962962963
289-59-作业测试_1463738081.csv,14,46,59,0.779661017
29-150-小白用车_1463737383.csv,21,123,150,0.82
290-59-bug作业测试_1470654437.csv,14,46,59,0.779661017
291-48-VR世界测试_1463738083.csv,16,35,48,0.729166667
292-48-bugVR世界测试_1470654434.csv,16,35,48,0.729166667
293-143-bug一度蜜测试_1470654434.csv,20,85,143,0.594405594
294-143-一度蜜测试_1463738084.csv,20,85,143,0.594405594
295-128-bug车典APP测试_1470654436.csv,15,104,128,0.8125
296-128-车典APP测试_1463738082.csv,15,104,128,0.8125
297-63-bug路怒宝测试_1470654432.csv,13,57,63,0.904761905
298-63-路怒宝测试_1463738085.csv,13,57,63,0.904761905
299-197-bug每刻兼职测试_1470654441.csv,28,164,197,0.83248731
3-145-手机卫士短信功能_1463737156.csv,20,73,145,0.503448276
30-42-花开了_1463737384.csv,13,34,42,0.80952381
300-197-每刻兼职测试_1463738080.csv,28,164,197,0.83248731
301-40-秀色秀场_1463738093.csv,13,31,40,0.775
302-40-bug秀色秀场_1470654419.csv,13,31,40,0.775
303-62-bug好大夫在线测试_1470654428.csv,15,57,62,0.919354839
304-62-好大夫在线测试_1463738089.csv,15,57,62,0.919354839
305-124-QQ123测试_1463738087.csv,17,114,124,0.919354839
306-124-bugQQ123测试_1470654432.csv,17,114,124,0.919354839
307-137-UONE_1463738088.csv,18,117,137,0.854014599
308-137-bugUONE_1470654431.csv,18,117,137,0.854014599
309-170-私人飞行测试_1463738093.csv,23,106,170,0.623529412
31-135-百度浏览器视频播放体验_1463737380.csv,15,126,135,0.933333333
310-170-bug私人飞行测试_1470654421.csv,23,106,170,0.623529412
311-185-bug社区慧生活测试_1470654424.csv,25,95,185,0.513513514
312-185-社区慧生活测试_1463738091.csv,25,95,185,0.513513514
313-90-bug老年桌面测试_1470654417.csv,19,64,90,0.711111111
314-90-老年桌面测试_1463738099.csv,19,64,90,0.711111111
315-119-萌宠达人测试_1463738095.csv,17,102,119,0.857142857
316-119-bug萌宠达人测试_1470654419.csv,17,102,119,0.857142857
317-131-华企帮测试_1463738098.csv,18,39,131,0.297709924
318-131-bug华企帮测试_1470654417.csv,18,39,131,0.297709924
319-197-百叶小成测试_1463738097.csv,28,138,197,0.700507614
32-37-和视频_1463737361.csv,12,36,37,0.972972973
320-197-bug百叶小成测试_1470654418.csv,28,138,197,0.700507614
321-129-有薪快访测试_1463738103.csv,10,36,129,0.279069767
322-129-bug有薪快访测试_1470654415.csv,10,36,129,0.279069767
323-79-肌肤健康测试测试_1463738104.csv,19,67,79,0.848101266
324-79-bug肌肤健康测试测试_1470654414.csv,19,67,79,0.848101266
325-231-数英测试_1463738102.csv,27,114,231,0.493506494
326-231-bug数英测试_1470654415.csv,27,114,231,0.493506494
327-239-动起来测试_1463738068.csv,29,214,239,0.89539749
328-239-bug动起来测试_1470654454.csv,29,214,239,0.89539749
329-102-bug小说阅读网V1.0.8测试_1470654414.csv,14,64,102,0.62745098
33-54-全能指南针_1463737363.csv,13,36,54,0.666666667
330-102-小说阅读网V1.0.8测试_1463738106.csv,14,64,102,0.62745098
331-97-财新网V5.0.1测试_1463738107.csv,22,88,97,0.907216495
332-97-bug财新网V5.0.1测试_1470654413.csv,22,88,97,0.907216495
333-39-邻邻V1.3.4 build测试_1463738114.csv,13,36,39,0.923076923
334-47-包头优生活V1.20.160426测试_1463738121.csv,2,47,47,1
335-62-Rulane SportV1.2.8测试_1463738111.csv,9,62,62,1
336-179-bugRulane SportV1.2.8测试_1470654410.csv,23,145,179,0.810055866
337-255-bug4399游戏盒V3.3测试_1470654412.csv,30,166,255,0.650980392
338-315-bug邻邻V1.3.4 build测试_1470654409.csv,37,271,315,0.86031746
339-308-bugWhatchAppV1.0测试_1470654408.csv,38,237,308,0.769480519
34-63-防汛通_1463737374.csv,15,32,63,0.507936508
340-266-bug包头优生活V1.20.160426测试_1470654405.csv,32,239,266,0.898496241
341-382-bug安泰汇诊V1.000b9测试_1470654407.csv,39,355,382,0.929319372
342-101-bug酒仙网V6.2.0测试_1470654402.csv,10,94,101,0.930693069
343-115-bug100赚V1.4测试_1470654401.csv,16,77,115,0.669565217
344-384-bug戏内V0.0.0.8测试_1470654401.csv,45,383,384,0.997395833
345-181-bug演艺派V1.0测试_1470654404.csv,25,167,181,0.922651934
346-214-bug徐水圈V1.0.160419测试_1470654402.csv,25,189,214,0.88317757
347-370-bug指尖大学测试_1470654404.csv,46,213,370,0.575675676
348-467-bug友服商城V1.0测试_1470654398.csv,58,416,467,0.890792291
349-195-bug优悠校园V2.1.0.2628测试_1470654399.csv,25,151,195,0.774358974
35-44-平安银行APP测试_1463737390.csv,6,31,44,0.704545455
350-324-bugdr.wineV3.1.2测试_1470654390.csv,40,264,324,0.814814815
351-123-bugFolderExplorerV1.0测试_1470654387.csv,17,97,123,0.788617886
352-95-bug极盗者-全民版V1.1.2.4测试_1470654387.csv,21,65,95,0.684210526
353-149-bug看苏州V3.0.0测试_1470654370.csv,21,141,149,0.946308725
354-199-bug舞蹈QV1.7测试_1470654383.csv,28,187,199,0.939698492
355-68-bugWaaShowV1.3.0测试_1470654366.csv,15,49,68,0.720588235
